date,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DIFF,PRECTOTCORR,SZA,RH2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,WS10M,PS,T2M,ALLSKY_SRF_ALB
2024-02-06 17:00:00,2024,2,6,17,123.49,0.47,74.34,85.76,268.92,142.27,2.22,86.09,-3.68,0.42
2024-02-06 18:00:00,2024,2,6,18,133.89,0.6,69.77,86.09,360.92,168.25,2.28,86.04,-1.92,0.44
2024-02-06 19:00:00,2024,2,6,19,212.86,0.59,67.43,85.31,406.88,245.48,2.37,85.99,-0.26,0.42
2024-02-06 20:00:00,2024,2,6,20,199.89,0.52,67.58,87.63,405.1,275.35,2.06,85.93,0.5,0.48
2024-02-06 21:00:00,2024,2,6,21,186.16,0.4,70.21,89.0,349.55,208.75,1.96,85.89,0.65,0.42
2024-02-06 22:00:00,2024,2,6,22,130.04,0.34,75.03,91.92,251.82,145.82,1.95,85.86,0.3,0.41
2024-02-06 23:00:00,2024,2,6,23,63.5,0.28,81.59,96.27,123.53,68.57,1.66,85.85,-0.86,0.43
2024-02-07 00:00:00,2024,2,7,0,12.67,0.3,88.65,99.33,12.45,10.48,1.62,85.84,-2.57,0.43
2024-02-07 01:00:00,2024,2,7,1,0.0,0.34,90.0,100.0,0.0,0.0,1.59,85.84,-3.48,-999.0
2024-02-07 02:00:00,2024,2,7,2,0.0,0.37,90.0,100.0,0.0,0.0,1.46,85.83,-3.99,-999.0
2024-02-07 03:00:00,2024,2,7,3,0.0,0.4,90.0,99.5,0.0,0.0,1.39,85.83,-4.38,-999.0
2024-02-07 04:00:00,2024,2,7,4,0.0,0.33,90.0,98.82,0.0,0.0,1.55,85.82,-4.85,-999.0
2024-02-07 05:00:00,2024,2,7,5,0.0,0.27,90.0,97.9,0.0,0.0,1.76,85.8,-5.4,-999.0
2024-02-07 06:00:00,2024,2,7,6,0.0,0.87,90.0,97.82,0.0,0.0,2.09,85.79,-6.13,-999.0
2024-02-07 07:00:00,2024,2,7,7,0.0,0.53,90.0,97.4,0.0,0.0,2.33,85.78,-6.77,-999.0
2024-02-07 08:00:00,2024,2,7,8,0.0,0.33,90.0,98.08,0.0,0.0,2.32,85.78,-7.48,-999.0
2024-02-07 09:00:00,2024,2,7,9,0.0,0.18,90.0,99.63,0.0,0.0,2.4,85.8,-8.32,-999.0
2024-02-07 10:00:00,2024,2,7,10,0.0,0.11,90.0,100.0,0.0,0.0,2.66,85.8,-9.17,-999.0
2024-02-07 11:00:00,2024,2,7,11,0.0,0.1,90.0,100.0,0.0,0.0,2.92,85.81,-9.89,-999.0
2024-02-07 12:00:00,2024,2,7,12,0.0,0.12,90.0,100.0,0.0,0.0,3.06,85.81,-10.26,-999.0
2024-02-07 13:00:00,2024,2,7,13,0.0,0.18,90.0,100.0,0.0,0.0,2.99,85.83,-10.2,-999.0
2024-02-07 14:00:00,2024,2,7,14,0.0,0.39,90.0,99.97,0.0,0.0,3.09,85.85,-9.79,-999.0
2024-02-07 15:00:00,2024,2,7,15,15.56,0.99,87.86,96.65,21.02,16.58,2.89,85.9,-8.66,0.44
2024-02-07 16:00:00,2024,2,7,16,40.92,1.52,80.45,93.42,143.57,75.82,2.64,85.93,-6.22,0.45
2024-02-07 17:00:00,2024,2,7,17,96.59,1.31,74.06,91.02,271.83,174.2,2.82,85.95,-4.57,0.42
2024-02-07 18:00:00,2024,2,7,18,163.58,1.04,69.47,89.31,368.52,278.3,2.67,85.95,-3.6,0.48
2024-02-07 19:00:00,2024,2,7,19,177.86,0.94,67.12,87.89,417.38,303.85,2.59,85.93,-2.9,0.5
2024-02-07 20:00:00,2024,2,7,20,194.03,0.95,67.27,86.93,413.88,253.73,2.54,85.91,-2.39,0.42
2024-02-07 21:00:00,2024,2,7,21,181.34,1.2,69.91,88.33,365.2,266.62,2.4,85.9,-2.58,0.49
2024-02-07 22:00:00,2024,2,7,22,119.88,1.59,74.74,90.76,263.42,153.1,2.14,85.93,-3.32,0.42
2024-02-07 23:00:00,2024,2,7,23,73.42,1.68,81.31,93.71,132.8,78.95,1.59,85.96,-4.45,0.44
2024-02-08 00:00:00,2024,2,8,0,10.29,1.58,88.49,95.96,15.12,8.88,1.47,85.99,-6.06,0.44
2024-02-08 01:00:00,2024,2,8,1,0.0,1.55,90.0,96.15,0.0,0.0,1.25,86.02,-6.78,-999.0
2024-02-08 02:00:00,2024,2,8,2,0.0,1.39,90.0,96.07,0.0,0.0,1.07,86.02,-7.16,-999.0
2024-02-08 03:00:00,2024,2,8,3,0.0,0.84,90.0,94.48,0.0,0.0,1.14,86.03,-7.32,-999.0
2024-02-08 04:00:00,2024,2,8,4,0.0,0.49,90.0,93.11,0.0,0.0,1.07,86.03,-7.41,-999.0
2024-02-08 05:00:00,2024,2,8,5,0.0,0.31,90.0,93.37,0.0,0.0,0.64,86.02,-7.6,-999.0
2024-02-08 06:00:00,2024,2,8,6,0.0,0.11,90.0,93.85,0.0,0.0,0.18,86.03,-7.71,-999.0
2024-02-08 07:00:00,2024,2,8,7,0.0,0.06,90.0,96.66,0.0,0.0,0.88,86.04,-8.26,-999.0
2024-02-08 08:00:00,2024,2,8,8,0.0,0.03,90.0,99.72,0.0,0.0,1.47,86.04,-9.39,-999.0
2024-02-08 09:00:00,2024,2,8,9,0.0,0.03,90.0,100.0,0.0,0.0,1.96,86.03,-10.22,-999.0
